shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
20071,38.772451,-9.161065,12,
20071,38.770242,-9.159899,13,
20071,38.767652,-9.158362,14,
20071,38.765541,-9.157426,15,
20071,38.760812,-9.157505,16,
20074,38.752674,-9.189517,1,
20074,38.755429,-9.192381,2,
20074,38.752866,-9.196814,3,
20074,38.751435,-9.19749,4,
20074,38.749293,-9.19767,5,
20074,38.747781,-9.197821,6,
20074,38.745013,-9.198958,7,
20074,38.745259,-9.202972,8,
20074,38.743823,-9.205766,9,
20074,38.742394,-9.206275,10,
20074,38.740835,-9.208898,11,
20074,38.742358,-9.211529,12,
20074,38.738705,-9.214247,13,
20074,38.737204,-9.216103,14,
20074,38.738366,-9.217766,15,
20074,38.735834,-9.218746,16,
20074,38.734876,-9.221476,17,
20074,38.735657,-9.221672,18,
20074,38.737322,-9.221195,19,
20074,38.736945,-9.222578,20,
20074,38.737458,-9.223688,21,
20074,38.739514,-9.22401,22,
20074,38.73946,-9.22151,23,
20075,38.73946,-9.22151,1,
20075,38.739631,-9.223889,2,
20075,38.73743,-9.223807,3,
20075,38.736805,-9.222677,4,
20075,38.737179,-9.221338,5,
20075,38.735767,-9.221708,6,
20075,38.734753,-9.221363,7,
20075,38.735665,-9.218691,8,
20075,38.738262,-9.217939,9,
20075,38.736649,-9.215855,10,
20075,38.738514,-9.213948,11,
20075,38.741798,-9.211704,12,
20075,38.74075,-9.208896,13,
20075,38.741726,-9.206607,14,
20075,38.743861,-9.205517,15,
20075,38.74511,-9.202743,16,
20075,38.744732,-9.199173,17,
20075,38.74528,-9.19795,18,
20075,38.747316,-9.19775,19,
20075,38.749779,-9.197506,20,
20075,38.751503,-9.197268,21,
20075,38.753224,-9.196346,22,
20075,38.754302,-9.195602,23,
20075,38.752674,-9.189517,24,
20810,38.713393,-9.137256,1,
20810,38.715271,-9.13601,2,
20810,38.71671,-9.135152,3,
20810,38.716115,-9.133056,4,
20810,38.715464,-9.13209,5,
20810,38.713425,-9.130651,6,
20810,38.712182,-9.130408,7,
20810,38.711314,-9.130714,8,
20810,38.710166,-9.13234,9,
20810,38.710052,-9.134268,10,
20810,38.709944,-9.135962,11,
20810,38.713393,-9.137256,12,
20899,38.725429,-9.151414,1,
20899,38.725307,-9.151907,2,
20899,38.725911,-9.157439,3,
20899,38.72792,-9.159334,4,
20899,38.727491,-9.162923,5,
20899,38.726517,-9.165035,6,
20899,38.728964,-9.166095,7,
20899,38.729435,-9.167073,8,
20899,38.727982,-9.170396,9,
20899,38.731375,-9.168504,10,
20899,38.733334,-9.168901,11,
20899,38.734887,-9.170344,12,
20899,38.73251,-9.172404,13,
20899,38.730742,-9.173324,14,
20978,38.725429,-9.151414,1,
20978,38.725307,-9.151907,2,
20978,38.725911,-9.157439,3,
20978,38.72792,-9.159334,4,
20978,38.727491,-9.162923,5,
20978,38.726517,-9.165035,6,
20978,38.728964,-9.166095,7,
20978,38.729435,-9.167073,8,
20978,38.727982,-9.170396,9,
20978,38.731375,-9.168504,10,
20978,38.733334,-9.168901,11,
20978,38.734887,-9.170344,12,
20978,38.732509,-9.171798,13,
21070,38.726623,-9.14952,1,
21070,38.729131,-9.149321,2,
21070,38.731809,-9.151616,3,
21070,38.734589,-9.154005,4,
21070,38.73671,-9.155804,5,
21070,38.738089,-9.159846,6,
21070,38.738336,-9.161962,7,
21070,38.738837,-9.164612,8,
21070,38.740566,-9.167409,9,
21070,38.742127,-9.168798,10,
21070,38.745561,-9.169345,11,
21070,38.747564,-9.170923,12,
21070,38.750867,-9.173135,13,
21070,38.753612,-9.174539,14,
21070,38.756594,-9.177394,15,
21070,38.75889,-9.180727,16,
21070,38.760246,-9.182883,17,
21070,38.7593,-9.187385,18,
21070,38.759741,-9.190918,19,
21070,38.760675,-9.194949,20,
21070,38.762629,-9.197236,21,
21070,38.766042,-9.19818,22,
21070,38.768936,-9.195495,23,
21070,38.770957,-9.193403,24,
21070,38.771977,-9.190204,25,
21070,38.771076,-9.18924,26,
21070,38.769542,-9.189714,27,
21071,38.734851,-9.152662,1,
21071,38.73671,-9.155804,2,
21071,38.738089,-9.159846,3,
21071,38.738336,-9.161962,4,
21071,38.738837,-9.164612,5,
21071,38.740566,-9.167409,6,
21071,38.742127,-9.168798,7,
21071,38.745561,-9.169345,8,
21071,38.747564,-9.170923,9,
21071,38.750867,-9.173135,10,
21071,38.753612,-9.174539,11,
21071,38.756594,-9.177394,12,
21071,38.75889,-9.180727,13,
21071,38.760246,-9.182883,14,
21071,38.7593,-9.187385,15,
21071,38.759741,-9.190918,16,
21071,38.760675,-9.194949,17,
21071,38.762629,-9.197236,18,
21071,38.766042,-9.19818,19,
21071,38.768936,-9.195495,20,
21071,38.770957,-9.193403,21,
21071,38.771977,-9.190204,22,
21071,38.771076,-9.18924,23,
21071,38.769542,-9.189714,24,
21107,38.746958,-9.220184,1,
21107,38.745616,-9.222064,2,
21107,38.743792,-9.220207,3,
21107,38.745821,-9.217526,4,
21107,38.746835,-9.216218,5,
21107,38.74597,-9.212384,6,
21107,38.743987,-9.211066,7,
21107,38.741798,-9.211704,8,
21107,38.74075,-9.208896,9,
21107,38.741726,-9.206607,10,
21107,38.743861,-9.205517,11,
21107,38.74511,-9.202743,12,
21107,38.744722,-9.199043,13,
21107,38.74426,-9.1943,14,
21107,38.744487,-9.192036,15,
21107,38.746335,-9.189654,16,
21107,38.748546,-9.191213,17,
